Title,ReleaseYear,City,Locations,FunFacts,ProductionCompany,Distributor,Director,Writer,Actor1,Actor2,Actor3,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip,Country,Source
180,2011,San Francisco,Epic Roasthouse (399 Embarcadero),,SPI Cinemas,,Jayendra,"Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba ",Siddarth,Nithya Menon,Priya Anand,37.776646,-122.417481,1,place,,,San Francisco,CA,San Francisco County,94101,US,TIGER/Line® dataset from the US Census Bureau
180,2011,San Francisco,Mason & California Streets (Nob Hill),,SPI Cinemas,,Jayendra,"Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba ",Siddarth,Nithya Menon,Priya Anand,37.791835,-122.410818,0.8,intersection,,California St,San Francisco,CA,San Francisco County,94108,US,TIGER/Line® dataset from the US Census Bureau
180,2011,San Francisco,Justin Herman Plaza,,SPI Cinemas,,Jayendra,"Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba ",Siddarth,Nithya Menon,Priya Anand,37.732522,-122.422055,0.9,street_center,,Justin Dr,San Francisco,CA,San Francisco County,94112,US,TIGER/Line® dataset from the US Census Bureau
180,2011,San Francisco,200 block Market Street,,SPI Cinemas,,Jayendra,"Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba ",Siddarth,Nithya Menon,Priya Anand,37.776646,-122.417481,0.33,place,,,San Francisco,CA,San Francisco County,94101,US,TIGER/Line® dataset from the US Census Bureau
180,2011,San Francisco,City Hall,,SPI Cinemas,,Jayendra,"Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba ",Siddarth,Nithya Menon,Priya Anand,37.776646,-122.417481,1,place,,,San Francisco,CA,San Francisco County,94101,US,TIGER/Line® dataset from the US Census Bureau
180,2011,San Francisco,Polk & Larkin Streets,,SPI Cinemas,,Jayendra,"Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba ",Siddarth,Nithya Menon,Priya Anand,37.803546,-122.42183,0.88,intersection,,Larkin St,San Francisco,CA,San Francisco County,94109,US,TIGER/Line® dataset from the US Census Bureau
180,2011,San Francisco,Randall Museum,,SPI Cinemas,,Jayendra,"Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba ",Siddarth,Nithya Menon,Priya Anand,37.739581,-122.42639,0.9,street_center,,Randall St,San Francisco,CA,San Francisco County,94131,US,TIGER/Line® dataset from the US Census Bureau
180,2011,San Francisco,555 Market St.,,SPI Cinemas,,Jayendra,"Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba ",Siddarth,Nithya Menon,Priya Anand,37.790066,-122.399944,1,rooftop,555,Market St,San Francisco,CA,San Francisco County,94105,US,San Francisco
24 Hours on Craigslist,2005,San Francisco,,,Yerba Buena Productions,Zealot Pictures,Michael Ferris Gibson,N/A,Craig Newmark,,,37.776646,-122.417481,1,place,,,San Francisco,CA,San Francisco County,94101,US,TIGER/Line® dataset from the US Census Bureau
40 Days and 40 Nights,2002,San Francisco,"The Walden House, Buena Vista Park","Established in 1867, Buena Vista Park is the oldest official park in San Francisco.",Miramax Films,Miramax Films,Michael Lehmann,Robert Perez,Josh Hartnett,Shaynnyn Sossamon,,37.776646,-122.417481,1,place,,,San Francisco,CA,San Francisco County,94101,US,TIGER/Line® dataset from the US Census Bureau
40 Days and 40 Nights,2002,San Francisco,Café Trieste (609 Vallejo),"Francis Ford Coppola allegedly wrote large portions of ""The Godfather"" trilogy in Café Trieste.",Miramax Films,Miramax Films,Michael Lehmann,Robert Perez,Josh Hartnett,Shaynnyn Sossamon,,37.776646,-122.417481,1,place,,,San Francisco,CA,San Francisco County,94101,US,TIGER/Line® dataset from the US Census Bureau
48 Hours,1982,San Francisco,,,Paramount Pictures,Paramount Pictures,Walter Hill,Walter Hill,Nick Nolte,Eddie Murphy,Annette O'Toole,37.776646,-122.417481,1,place,,,San Francisco,CA,San Francisco County,94101,US,TIGER/Line® dataset from the US Census Bureau
50 First Dates,2004,San Francisco,Rainforest Café (145 Jefferson Street),,Columbia Pictures Corporation,Columbia Pictures,Peter Segal,George Wing,Adam Sandler,Drew Barrymore,,37.776646,-122.417481,1,place,,,San Francisco,CA,San Francisco County,94101,US,TIGER/Line® dataset from the US Census Bureau
A Jitney Elopement,1915,San Francisco,20th and Folsom Streets,,The Essanay Film Manufacturing Company,General Film Company,Charles Chaplin,Charles Chaplin,Charles Chaplin,Edna Purviance,,37.758896,-122.41469,1,intersection,,20th St,San Francisco,CA,San Francisco County,94110,US,TIGER/Line® dataset from the US Census Bureau
A Jitney Elopement,1915,San Francisco,Golden Gate Park,"During San Francisco's Gold Rush era, the Park was part of an area designated as the ""Great Sand Waste"". ",The Essanay Film Manufacturing Company,General Film Company,Charles Chaplin,Charles Chaplin,Charles Chaplin,Edna Purviance,,37.809716,-122.477571,0.9,street_center,,Golden Gate Brg,San Francisco,CA,San Francisco County,94129,US,TIGER/Line® dataset from the US Census Bureau
